-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2023 through 12/31/2025 in LST
Location: latitude  7.8731   longitude 80.7718 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 121.01 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
TS              MERRA-2 Earth Skin Temperature (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
-END HEADER-
YEAR,MO,DY,TS,PRECTOTCORR,RH2M
2023,1,1,23.26,0.08,89.02
2023,1,2,22.87,0.14,87.77
2023,1,3,22.55,0.03,84.68
2023,1,4,22.8,0.4,86.25
2023,1,5,24.39,2.58,89.91
2023,1,6,24.31,12.59,93.75
2023,1,7,23.95,28.01,94.25
2023,1,8,23.67,12.97,89.89
2023,1,9,23.29,0.72,87.94
2023,1,10,22.32,0.2,84.97
2023,1,11,21.37,0.02,82.99
2023,1,12,20.91,0.0,83.71
2023,1,13,22.0,0.03,83.98
2023,1,14,22.38,0.1,87.12
2023,1,15,23.85,0.12,88.06
2023,1,16,24.02,4.01,90.69
2023,1,17,24.0,5.32,89.36
2023,1,18,22.79,0.2,85.14
2023,1,19,22.1,0.01,82.62
2023,1,20,22.53,0.02,82.09
2023,1,21,22.91,0.16,84.03
2023,1,22,23.0,7.61,92.43
2023,1,23,23.86,14.98,93.07
2023,1,24,23.59,13.64,92.59
2023,1,25,23.61,0.23,86.46
2023,1,26,23.69,0.06,85.65
2023,1,27,23.27,3.6,91.03
2023,1,28,22.87,0.09,84.74
2023,1,29,23.45,0.78,88.89
2023,1,30,23.24,5.83,92.89
2023,1,31,22.91,4.05,92.93
2023,2,1,23.71,92.91,95.33
2023,2,2,24.86,31.39,91.03
2023,2,3,24.64,7.49,91.06
2023,2,4,24.94,8.2,91.64
2023,2,5,24.51,0.31,87.57
2023,2,6,24.04,1.95,90.92
2023,2,7,24.71,3.84,90.42
2023,2,8,24.6,1.52,89.73
2023,2,9,24.43,0.09,87.55
2023,2,10,23.4,0.01,88.72
2023,2,11,22.71,0.01,84.88
2023,2,12,22.77,0.01,86.27
2023,2,13,22.81,0.0,87.19
2023,2,14,23.1,0.0,86.95
2023,2,15,21.64,0.0,83.09
2023,2,16,22.0,0.02,84.45
2023,2,17,23.17,0.28,86.73
2023,2,18,24.56,3.09,88.83
2023,2,19,25.13,3.31,88.43
2023,2,20,24.87,4.56,87.74
2023,2,21,24.0,0.28,87.06
2023,2,22,22.8,0.01,82.07
2023,2,23,23.16,0.01,80.11
2023,2,24,24.55,2.17,86.7
2023,2,25,23.99,0.03,84.2
2023,2,26,22.6,0.08,81.73
2023,2,27,23.95,3.63,83.92
2023,2,28,25.32,13.26,88.04
2023,3,1,25.45,0.88,85.22
2023,3,2,24.82,0.31,83.01
2023,3,3,24.57,0.23,83.02
2023,3,4,25.27,3.89,87.68
2023,3,5,25.57,1.85,87.62
2023,3,6,24.97,0.89,87.75
2023,3,7,25.38,0.77,86.75
2023,3,8,25.39,0.35,85.15
2023,3,9,25.82,0.33,84.16
2023,3,10,24.91,0.14,87.77
2023,3,11,25.27,0.62,88.53
2023,3,12,25.8,3.39,87.67
2023,3,13,25.72,0.94,86.87
2023,3,14,26.04,0.37,84.0
2023,3,15,26.25,2.54,86.4
2023,3,16,26.24,5.3,87.16
2023,3,17,25.57,0.78,86.55
2023,3,18,26.34,21.27,84.71
2023,3,19,26.57,19.53,87.1
2023,3,20,26.25,7.71,85.12
